City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Balkanabat,TM,39.5108,54.3671,90.61,46,0,11.32,clear sky
326,Giovinazzo,IT,41.1864,16.6674,93.81,52,0,5.75,clear sky
327,Erenhot,CN,43.6475,111.9767,85.3,20,100,19.69,overcast clouds
328,Alice Springs,AU,-23.7,133.8833,44.26,47,0,5.93,clear sky
329,Port Blair,IN,11.6667,92.75,80.64,89,100,2.3,mist
330,Mount Gambier,AU,-37.8333,140.7667,47.03,85,54,8.12,broken clouds
331,Malakal,SS,9.5334,31.6605,73.6,85,100,2.46,overcast clouds
332,Narsaq,GL,60.9167,-46.05,66.42,68,6,6.46,clear sky
333,Tallahassee,US,30.4383,-84.2807,91.85,68,43,5.99,scattered clouds
334,Majene,ID,-3.5403,118.9707,77.4,90,81,5.82,broken clouds
335,Ossora,RU,59.2353,163.0719,53.13,67,7,4.47,clear sky
336,Ixtapa,MX,20.7,-105.2,90.23,66,40,1.99,scattered clouds
337,Fayetteville,US,35.0527,-78.8784,84.4,74,100,18.41,overcast clouds
338,Kjopsvik,NO,68.097,16.3742,58.87,91,100,1.83,overcast clouds
339,Ust-Kulom,RU,61.6864,53.6902,65.73,72,78,5.44,broken clouds
340,Mayo,US,38.8876,-76.5119,95.36,68,0,8.99,clear sky
341,Boddam,GB,57.4667,-1.7833,64.44,81,67,11.95,broken clouds
342,Balvi,LV,57.1313,27.2658,75.94,48,25,5.86,scattered clouds
343,Nhulunbuy,AU,-12.2333,136.7667,71.38,60,69,13.49,broken clouds
344,Dongsheng,CN,39.8161,109.9776,77.25,34,100,11.77,overcast clouds
345,Kangaatsiaq,GL,68.3065,-53.4641,42.17,99,100,8.39,overcast clouds
346,Zabaykalsk,RU,49.6333,117.3167,68.61,74,16,3.87,few clouds
